player,team,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th
Andrew Gutman,CHI,35.44,37.23,31.22,29.51,26.78,26.31,24.24,25.11,26.04,,,,
Bryan Josias Ramirez Leon,CIN,62.68,49.91,50.54,48.25,58.78,48.32,45.54,45.19,42.91,38.05,38.37,42.13,
Miles Robinson,CIN,78.45,71.75,82.15,78.11,76.55,78.57,85.89,70.51,73.06,73.99,69.10,75.61,74.03
Malte Amundsen,CLB,59.75,49.71,45.66,45.14,46.87,48.91,45.54,44.60,45.45,44.26,47.37,45.66,
Osaze Urhoghide,DAL,20.37,19.19,17.87,17.76,19.99,20.33,17.94,17.32,18.60,,,,
Ryan Porteous,LAFC,40.97,45.53,39.43,41.39,39.39,36.05,40.45,41.26,34.90,,,,
Sergio Reguilon Rodriguez,MIA,62.27,43.87,44.68,40.21,39.84,49.13,45.60,45.62,45.68,,,,
Anthony Markanich,MIN,25.41,28.88,23.70,26.62,27.55,25.31,24.05,26.08,23.50,,,,
Ilay Feingold,NE,27.33,25.54,22.34,19.48,19.31,14.15,15.08,17.71,15.08,,,,
Andy Aryel Najar Rodriguez,NSH,56.10,68.22,63.61,61.15,64.20,62.36,65.41,61.50,63.47,63.23,63.45,62.68,68.84
Jeisson Andres Palacios Murillo,NSH,97.42,80.89,77.08,72.94,80.15,83.48,87.52,77.52,80.92,80.56,85.74,81.12,80.54
Thiago Martins Bueno,NYC,171.25,80.70,59.71,48.44,51.59,49.72,55.34,56.05,52.15,,,,
Nathan Harriel,PHI,48.32,49.13,50.77,53.80,53.70,53.90,51.89,52.80,47.75,50.54,52.04,52.11,56.50
Olwethu Makhanya,PHI,57.01,59.08,52.13,49.20,49.80,53.62,59.45,55.32,49.28,50.73,52.07,51.71,56.34
Finn Surman,POR,30.76,21.90,14.85,12.49,12.22,15.35,15.84,17.38,15.08,,,,
Lukas Ahlefeld Engel,RSL,59.51,41.87,31.83,26.73,27.36,26.15,32.25,31.34,27.25,,,,
Luca Bombino,SD,96.59,77.64,80.62,72.09,64.94,66.49,66.01,68.42,66.24,75.14,70.41,61.31,62.47
Manu Duah,SD,65.26,72.19,65.66,61.60,61.43,63.93,57.86,64.86,63.19,60.15,58.42,54.46,55.11
Jackson Ragen,SEA,251.31,258.76,128.02,138.74,131.36,130.22,127.05,119.64,106.90,121.46,119.55,106.95,112.81
Alexander Roldan,SEA,92.38,79.47,75.76,77.08,73.73,78.48,65.01,65.45,66.62,60.92,59.58,63.27,63.87
Yeimar Pastor Gomez Andrade,SEA,213.39,102.54,90.53,87.03,78.78,86.16,79.13,78.51,79.00,81.87,80.28,84.23,79.78
Tristan Blackmon,VAN,101.41,68.69,68.77,76.75,73.54,74.05,74.36,68.82,78.04,68.80,82.80,78.55,72.42
Edier Ocampo Vidal,VAN,22.89,25.69,22.15,21.76,21.26,22.20,18.89,17.92,18.79,16.72,19.77,19.20,20.14
Tomas Jacob,ATL,24.47,18.88,11.76,13.21,13.26,12.88,10.32,13.39,10.39,,,,
Mbekezeli Mbokazi,CHI,40.71,42.49,30.44,26.81,34.66,32.08,24.44,25.30,25.67,,,,
Frederick Henry Kessler,CLT,20.42,27.10,27.12,17.04,21.86,22.52,16.60,14.60,12.73,,,,
Herman Johansson,DAL,19.56,21.13,17.09,12.29,11.06,12.47,11.55,13.71,9.80,,,,
Artem Smolyakov,LAFC,18.68,14.59,10.88,14.18,12.61,14.86,15.26,14.17,12.94,,,,
Mauricio Cuevas,LAG,17.26,11.33,19.67,16.40,15.27,17.83,15.07,10.51,11.57,,,,
Justin Che,RBNY,26.92,15.59,8.43,12.73,10.24,8.46,8.55,10.09,8.44,9.61,8.12,8.03,8.75
